panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
GALAXY,GALAXY,GAL-52,(Surgery for varicose veins saphenofemoral ligation and stripping sclerotherapy Unilateral,,,,,DLX,47400,SHR,42600,GW,37900,,
GALAXY,GALAXY,GAL-53,"Varicose veins 53 Radiofrequency ablation , endovenous laser treatment Including Cost of Laser and Catheter",,,,,DLX,47400,SHR,42600,GW,37900,,
GALAXY,GALAXY,GAL-55,Wound debridement Minor,,,,,DLX,10200,SHR,9200,GW,8200,,
GALAXY,GALAXY,GAL-56,Excision of Ganglions,,,,,DLX,21600,SHR,19500,GW,17300,,
GALAXY,GALAXY,GAL-59,ERCP EPT Stenting Stone Removal Day Care 28800,,,,,DLX,26000,SHR,23100,GW,,,
GALAXY,GALAXY,GAL-61,OBSTETRICS & GYNECOLOGY Hysterectomy Abdominal 61 With or Without BSO and (adhesiolysis,,,,,DLX,51000,SHR,45900,GW,40800,,
GALAXY,GALAXY,GAL-66,D & C with Hysteroscopy (Day Care),,,,,DLX,25500,SHR,25500,GW,25500,,
GALAXY,GALAXY,GAL-67,Open Ruptured Ectopic Pregnancy,,,,,DLX,36500,SHR,32800,GW,29200,,
GALAXY,GALAXY,GAL-68,Laparoscopic Ruptured Ectopic Pregnancy,,,,,DLX,40800,SHR,36700,GW,32700,,
GALAXY,GALAXY,GAL-70,Laparoscopic Wertheims with Node dissection,,,,,DLX,109400,SHR,98400,GW,87500,,
GALAXY,GALAXY,GAL-72,Laparoscopic Myomectomy,,,,,DLX,47400,SHR,42600,GW,37900,,
GALAXY,GALAXY,GAL-73,Ovarian Cystectomy Laparoscopic,,,,,DLX,47400,SHR,42600,GW,37900,,
GALAXY,GALAXY,GAL-74,Normal Delivery with Well Baby Care (Single/Twins),,,,,DLX,22500,SHR,20200,GW,18000,,
GALAXY,GALAXY,GAL-75,LSCS with Well Baby Care (Single/Twins),,,,,DLX,36500,SHR,32800,GW,29200,,
GALAXY,GALAXY,GAL-76,ORTHOPAEDICS ACL / PCL 77 MCL Reconstruction Excluding Cost of Implant 78 Menisectomy meniscus repair / meniscus root repair Meniscus balancing,,,,,DLX,51000,SHR,45900,GW,40800,,
GALAXY,GALAXY,GAL-79,(Carpal Tunnel Release Unilateral,,,,,DLX,25500,SHR,23000,GW,20400,,
GALAXY,GALAXY,GAL-81,Closed Reduction Dislocation Minor,,,,,DLX,10200,SHR,9200,GW,8200,,
GALAXY,GALAXY,GAL-82,Closed Reduction Dislocation Major,,,,,DLX,15300,SHR,13800,GW,12200,,
GALAXY,GALAXY,GAL-83,Implant Removal Minor (Except K-Wire),,,,,DLX,10200,SHR,9200,GW,8200,,
GALAXY,GALAXY,GAL-86,Open Reduction Dislocation Minor,,,,,DLX,15300,SHR,13800,GW,12200,,
GALAXY,GALAXY,GAL-88,ORIF of Fracture K Wire Including Cost of Implant,,,,,DLX,18200,SHR,16400,GW,14600,,
GALAXY,GALAXY,GAL-89,ORIF of Fracture - Plating Excluding Cost of Implant,,,,,DLX,47400,SHR,42600,GW,37900,,
GALAXY,GALAXY,GAL-91,Acetabular Fracture Anterior Wall Column ORIF,,,,,DLX,72100,SHR,64900,GW,57700,,
GALAXY,GALAXY,GAL-92,ORIF Ankle/Talus/Calcaeneum Excluding cost of 91 Implant,,,,,DLX,43700,SHR,39400,GW,35000,,
GALAXY,GALAXY,GAL-95,IM Nailing Interlocking Excluding Cost of Implant,,,,,DLX,45900,SHR,41300,GW,36700,,
GALAXY,GALAXY,GAL-96,Fracture Neck of Femur (NOF) 95 Intertrochantric Subtrochantric - Excluding Cost of Implant,,,,,DLX,51000,SHR,45900,GW,40800,,
GALAXY,GALAXY,GAL-97,Microdiscectomy,,,,,DLX,65600,SHR,59000,GW,52500,,
GALAXY,GALAXY,GAL-102,Clesed Reduction of Fracture Under GA for Major Joints,,,,,DLX,15300,SHR,13800,GW,12200,,
GALAXY,GALAXY,GAL-103,Bipolar Hemiarthroplasty 103 Dynamic hip screw (DHS) Excluding Cost of Implant 104 Total Knee Replacement Unilateral - Excluding Cost of Implant 105 Total Knee Replacement Bilateral Excluding Cost of ,,,,,DLX,51000,SHR,45900,GW,40800,,
GALAXY,GALAXY,GAL-108,Shoulder - Arthroscopy Bankart Repair,,,,,DLX,72100,SHR,64900,GW,57700,,
GALAXY,GALAXY,GAL-109,Shoulder - Arthoscopy Bankart & Hill Sachs Lesion,,,,,DLX,84600,SHR,76100,GW,67700,,
